toxin_type,toxin_label,province,measured,detected,detection_rate,mean_positive_concentration_ug_kg,max_positive_concentration_ug_kg
AFB1,Aflatoxin B1,Lampang,21,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Mahasarakham,10,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Mukdahan,15,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Nakhon Pathom,32,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Narathiwat,18,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Pathum Thani,6,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Pha Yao,17,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Phayao,6,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Phichit,2,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Phnom Phen,4,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Roi Et,53,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Si Sa Ket,23,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Songkhla,13,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Suphan Buri,4,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Surin,37,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Takhmao,3,0,0.0,0.0,0.0
AFB1,Aflatoxin B1,Yasothon,20,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Unspecified area,48,1,0.020833,1.09,1.09
AFB2,Aflatoxin B2,Amnart Charoen,15,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Bangkok,1,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Chaiyaphum,1,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Chiang Mai,86,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Chiang Rai,21,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Kalasin,2,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Kampong Thom,2,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Kampot,1,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Lampang,21,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Mahasarakham,10,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Mukdahan,15,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Nakhon Pathom,32,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Narathiwat,18,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Pathum Thani,6,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Pha Yao,17,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Phayao,6,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Phichit,2,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Phnom Phen,4,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Roi Et,53,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Si Sa Ket,23,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Siem Reap,4,0,0.0,0.0,0.0
AFB2,Aflatoxin B2,Songkhla,13,0,0.0,0.0,0.0
