toxin_type,toxin_label,province,measured,detected,detection_rate,mean_positive_concentration_ug_kg,max_positive_concentration_ug_kg
DAS,Diacetoxyscirpenol,Chiang Mai,86,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Chiang Rai,21,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Kalasin,2,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Kampong Thom,2,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Kampot,1,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Lampang,21,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Mahasarakham,10,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Mukdahan,15,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Nakhon Pathom,32,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Narathiwat,18,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Pathum Thani,6,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Pha Yao,17,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Phayao,6,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Phichit,2,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Phnom Phen,4,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Roi Et,53,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Si Sa Ket,23,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Siem Reap,4,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Songkhla,13,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Suphan Buri,4,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Surin,37,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Takhmao,3,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Ubon Ratchathani,43,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Yala,4,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Yasothon,20,0,0.0,0.0,0.0
DON,Deoxynivalenol,Unspecified area,48,4,0.083333,28.7525,49.7
DON,Deoxynivalenol,Kampong Thom,2,1,0.5,156.95,156.95
DON,Deoxynivalenol,Ubon Ratchathani,43,1,0.023256,69.79,69.79
DON,Deoxynivalenol,Amnart Charoen,15,0,0.0,0.0,0.0
DON,Deoxynivalenol,Bangkok,1,0,0.0,0.0,0.0
DON,Deoxynivalenol,Chaiyaphum,1,0,0.0,0.0,0.0
DON,Deoxynivalenol,Chiang Mai,86,0,0.0,0.0,0.0
DON,Deoxynivalenol,Chiang Rai,21,0,0.0,0.0,0.0
DON,Deoxynivalenol,Kalasin,2,0,0.0,0.0,0.0
DON,Deoxynivalenol,Kampot,1,0,0.0,0.0,0.0
DON,Deoxynivalenol,Lampang,21,0,0.0,0.0,0.0
DON,Deoxynivalenol,Mahasarakham,10,0,0.0,0.0,0.0
DON,Deoxynivalenol,Mukdahan,15,0,0.0,0.0,0.0
DON,Deoxynivalenol,Nakhon Pathom,32,0,0.0,0.0,0.0
DON,Deoxynivalenol,Narathiwat,18,0,0.0,0.0,0.0
DON,Deoxynivalenol,Pathum Thani,6,0,0.0,0.0,0.0
DON,Deoxynivalenol,Pha Yao,17,0,0.0,0.0,0.0
DON,Deoxynivalenol,Phayao,6,0,0.0,0.0,0.0
DON,Deoxynivalenol,Phichit,2,0,0.0,0.0,0.0
DON,Deoxynivalenol,Phnom Phen,4,0,0.0,0.0,0.0
DON,Deoxynivalenol,Roi Et,53,0,0.0,0.0,0.0
DON,Deoxynivalenol,Si Sa Ket,23,0,0.0,0.0,0.0
DON,Deoxynivalenol,Siem Reap,4,0,0.0,0.0,0.0
DON,Deoxynivalenol,Songkhla,13,0,0.0,0.0,0.0
DON,Deoxynivalenol,Suphan Buri,4,0,0.0,0.0,0.0
DON,Deoxynivalenol,Surin,37,0,0.0,0.0,0.0
DON,Deoxynivalenol,Takhmao,3,0,0.0,0.0,0.0
DON,Deoxynivalenol,Yala,4,0,0.0,0.0,0.0
DON,Deoxynivalenol,Yasothon,20,0,0.0,0.0,0.0
EMO,Emodin,Unspecified area,48,15,0.3125,1.264,5.45
EMO,Emodin,Amnart Charoen,15,0,0.0,0.0,0.0
EMO,Emodin,Bangkok,1,0,0.0,0.0,0.0
EMO,Emodin,Chaiyaphum,1,0,0.0,0.0,0.0
EMO,Emodin,Chiang Mai,86,0,0.0,0.0,0.0
EMO,Emodin,Chiang Rai,21,0,0.0,0.0,0.0
EMO,Emodin,Kalasin,2,0,0.0,0.0,0.0
EMO,Emodin,Kampong Thom,2,0,0.0,0.0,0.0
EMO,Emodin,Kampot,1,0,0.0,0.0,0.0
EMO,Emodin,Lampang,21,0,0.0,0.0,0.0
EMO,Emodin,Mahasarakham,10,0,0.0,0.0,0.0
EMO,Emodin,Mukdahan,15,0,0.0,0.0,0.0
EMO,Emodin,Nakhon Pathom,32,0,0.0,0.0,0.0
EMO,Emodin,Narathiwat,18,0,0.0,0.0,0.0
EMO,Emodin,Pathum Thani,6,0,0.0,0.0,0.0
EMO,Emodin,Pha Yao,17,0,0.0,0.0,0.0
EMO,Emodin,Phayao,6,0,0.0,0.0,0.0
EMO,Emodin,Phichit,2,0,0.0,0.0,0.0
EMO,Emodin,Phnom Phen,4,0,0.0,0.0,0.0
EMO,Emodin,Roi Et,53,0,0.0,0.0,0.0
EMO,Emodin,Si Sa Ket,23,0,0.0,0.0,0.0
EMO,Emodin,Siem Reap,4,0,0.0,0.0,0.0
EMO,Emodin,Songkhla,13,0,0.0,0.0,0.0
EMO,Emodin,Suphan Buri,4,0,0.0,0.0,0.0
EMO,Emodin,Surin,37,0,0.0,0.0,0.0
EMO,Emodin,Takhmao,3,0,0.0,0.0,0.0
EMO,Emodin,Ubon Ratchathani,43,0,0.0,0.0,0.0
EMO,Emodin,Yala,4,0,0.0,0.0,0.0
EMO,Emodin,Yasothon,20,0,0.0,0.0,0.0
ENNA,Enniatin A,Unspecified area,48,1,0.020833,0.05,0.05
ENNA,Enniatin A,Amnart Charoen,15,0,0.0,0.0,0.0
ENNA,Enniatin A,Bangkok,1,0,0.0,0.0,0.0
ENNA,Enniatin A,Chaiyaphum,1,0,0.0,0.0,0.0
ENNA,Enniatin A,Chiang Mai,86,0,0.0,0.0,0.0
ENNA,Enniatin A,Chiang Rai,21,0,0.0,0.0,0.0
ENNA,Enniatin A,Kalasin,2,0,0.0,0.0,0.0
ENNA,Enniatin A,Kampong Thom,2,0,0.0,0.0,0.0
ENNA,Enniatin A,Kampot,1,0,0.0,0.0,0.0
ENNA,Enniatin A,Lampang,21,0,0.0,0.0,0.0
ENNA,Enniatin A,Mahasarakham,10,0,0.0,0.0,0.0
ENNA,Enniatin A,Mukdahan,15,0,0.0,0.0,0.0
ENNA,Enniatin A,Nakhon Pathom,32,0,0.0,0.0,0.0
ENNA,Enniatin A,Narathiwat,18,0,0.0,0.0,0.0
ENNA,Enniatin A,Pathum Thani,6,0,0.0,0.0,0.0
ENNA,Enniatin A,Pha Yao,17,0,0.0,0.0,0.0
ENNA,Enniatin A,Phayao,6,0,0.0,0.0,0.0
ENNA,Enniatin A,Phichit,2,0,0.0,0.0,0.0
ENNA,Enniatin A,Phnom Phen,4,0,0.0,0.0,0.0
ENNA,Enniatin A,Roi Et,53,0,0.0,0.0,0.0
ENNA,Enniatin A,Si Sa Ket,23,0,0.0,0.0,0.0
ENNA,Enniatin A,Siem Reap,4,0,0.0,0.0,0.0
ENNA,Enniatin A,Songkhla,13,0,0.0,0.0,0.0
ENNA,Enniatin A,Suphan Buri,4,0,0.0,0.0,0.0
ENNA,Enniatin A,Surin,37,0,0.0,0.0,0.0
ENNA,Enniatin A,Takhmao,3,0,0.0,0.0,0.0
ENNA,Enniatin A,Ubon Ratchathani,43,0,0.0,0.0,0.0
ENNA,Enniatin A,Yala,4,0,0.0,0.0,0.0
ENNA,Enniatin A,Yasothon,20,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Unspecified area,48,4,0.083333,0.57,1.76
ENNA1,Enniatin A1,Amnart Charoen,15,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Bangkok,1,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Chaiyaphum,1,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Chiang Mai,86,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Chiang Rai,21,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Kalasin,2,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Kampong Thom,2,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Kampot,1,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Lampang,21,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Mahasarakham,10,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Mukdahan,15,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Nakhon Pathom,32,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Narathiwat,18,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Pathum Thani,6,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Pha Yao,17,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Phayao,6,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Phichit,2,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Phnom Phen,4,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Roi Et,53,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Si Sa Ket,23,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Siem Reap,4,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Songkhla,13,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Suphan Buri,4,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Surin,37,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Takhmao,3,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Ubon Ratchathani,43,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Yala,4,0,0.0,0.0,0.0
ENNA1,Enniatin A1,Yasothon,20,0,0.0,0.0,0.0
ENNB,Enniatin B,Unspecified area,48,7,0.145833,1.192857,3.18
ENNB,Enniatin B,Amnart Charoen,15,0,0.0,0.0,0.0
ENNB,Enniatin B,Bangkok,1,0,0.0,0.0,0.0
ENNB,Enniatin B,Chaiyaphum,1,0,0.0,0.0,0.0
ENNB,Enniatin B,Chiang Mai,86,0,0.0,0.0,0.0
ENNB,Enniatin B,Chiang Rai,21,0,0.0,0.0,0.0
ENNB,Enniatin B,Kalasin,2,0,0.0,0.0,0.0
ENNB,Enniatin B,Kampong Thom,2,0,0.0,0.0,0.0
ENNB,Enniatin B,Kampot,1,0,0.0,0.0,0.0
ENNB,Enniatin B,Lampang,21,0,0.0,0.0,0.0
ENNB,Enniatin B,Mahasarakham,10,0,0.0,0.0,0.0
ENNB,Enniatin B,Mukdahan,15,0,0.0,0.0,0.0
ENNB,Enniatin B,Nakhon Pathom,32,0,0.0,0.0,0.0
ENNB,Enniatin B,Narathiwat,18,0,0.0,0.0,0.0
ENNB,Enniatin B,Pathum Thani,6,0,0.0,0.0,0.0
ENNB,Enniatin B,Pha Yao,17,0,0.0,0.0,0.0
ENNB,Enniatin B,Phayao,6,0,0.0,0.0,0.0
ENNB,Enniatin B,Phichit,2,0,0.0,0.0,0.0
ENNB,Enniatin B,Phnom Phen,4,0,0.0,0.0,0.0
ENNB,Enniatin B,Roi Et,53,0,0.0,0.0,0.0
ENNB,Enniatin B,Si Sa Ket,23,0,0.0,0.0,0.0
ENNB,Enniatin B,Siem Reap,4,0,0.0,0.0,0.0
ENNB,Enniatin B,Songkhla,13,0,0.0,0.0,0.0
ENNB,Enniatin B,Suphan Buri,4,0,0.0,0.0,0.0
ENNB,Enniatin B,Surin,37,0,0.0,0.0,0.0
ENNB,Enniatin B,Takhmao,3,0,0.0,0.0,0.0
ENNB,Enniatin B,Ubon Ratchathani,43,0,0.0,0.0,0.0
ENNB,Enniatin B,Yala,4,0,0.0,0.0,0.0
ENNB,Enniatin B,Yasothon,20,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Unspecified area,48,9,0.1875,0.45,2.47
ENNB1,Enniatin B1,Amnart Charoen,15,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Bangkok,1,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Chaiyaphum,1,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Chiang Mai,86,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Chiang Rai,21,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Kalasin,2,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Kampong Thom,2,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Kampot,1,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Lampang,21,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Mahasarakham,10,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Mukdahan,15,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Nakhon Pathom,32,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Narathiwat,18,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Pathum Thani,6,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Pha Yao,17,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Phayao,6,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Phichit,2,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Phnom Phen,4,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Roi Et,53,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Si Sa Ket,23,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Siem Reap,4,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Songkhla,13,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Suphan Buri,4,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Surin,37,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Takhmao,3,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Ubon Ratchathani,43,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Yala,4,0,0.0,0.0,0.0
ENNB1,Enniatin B1,Yasothon,20,0,0.0,0.0,0.0
FB1,Fumonisin B1,Unspecified area,48,16,0.333333,240.106875,802.22
FB1,Fumonisin B1,Chiang Mai,86,9,0.104651,34.84,64.9
FB1,Fumonisin B1,Nakhon Pathom,32,6,0.1875,38.81,74.94
FB1,Fumonisin B1,Yala,4,3,0.75,49.72,63.2
FB1,Fumonisin B1,Lampang,21,3,0.142857,34.046667,46.21
FB1,Fumonisin B1,Phayao,6,3,0.5,28.47,40.79
FB1,Fumonisin B1,Songkhla,13,3,0.230769,17.203333,38.77
FB1,Fumonisin B1,Narathiwat,18,3,0.166667,13.643333,18.14
FB1,Fumonisin B1,Surin,37,2,0.054054,42.32,45.11
FB1,Fumonisin B1,Ubon Ratchathani,43,1,0.023256,71.6,71.6
FB1,Fumonisin B1,Kalasin,2,1,0.5,60.28,60.28
FB1,Fumonisin B1,Kampong Thom,2,1,0.5,53.68,53.68
FB1,Fumonisin B1,Bangkok,1,1,1.0,7.48,7.48
FB1,Fumonisin B1,Amnart Charoen,15,0,0.0,0.0,0.0
FB1,Fumonisin B1,Chaiyaphum,1,0,0.0,0.0,0.0
FB1,Fumonisin B1,Chiang Rai,21,0,0.0,0.0,0.0
FB1,Fumonisin B1,Kampot,1,0,0.0,0.0,0.0
FB1,Fumonisin B1,Mahasarakham,10,0,0.0,0.0,0.0
FB1,Fumonisin B1,Mukdahan,15,0,0.0,0.0,0.0
FB1,Fumonisin B1,Pathum Thani,6,0,0.0,0.0,0.0
FB1,Fumonisin B1,Pha Yao,17,0,0.0,0.0,0.0
FB1,Fumonisin B1,Phichit,2,0,0.0,0.0,0.0
FB1,Fumonisin B1,Phnom Phen,4,0,0.0,0.0,0.0
FB1,Fumonisin B1,Roi Et,53,0,0.0,0.0,0.0
FB1,Fumonisin B1,Si Sa Ket,23,0,0.0,0.0,0.0
FB1,Fumonisin B1,Siem Reap,4,0,0.0,0.0,0.0
FB1,Fumonisin B1,Suphan Buri,4,0,0.0,0.0,0.0
FB1,Fumonisin B1,Takhmao,3,0,0.0,0.0,0.0
FB1,Fumonisin B1,Yasothon,20,0,0.0,0.0,0.0
FB2,Fumonisin B2,Unspecified area,48,13,0.270833,52.55,133.02
FB2,Fumonisin B2,Amnart Charoen,15,0,0.0,0.0,0.0
FB2,Fumonisin B2,Bangkok,1,0,0.0,0.0,0.0
FB2,Fumonisin B2,Chaiyaphum,1,0,0.0,0.0,0.0
FB2,Fumonisin B2,Chiang Mai,86,0,0.0,0.0,0.0
FB2,Fumonisin B2,Chiang Rai,21,0,0.0,0.0,0.0
FB2,Fumonisin B2,Kalasin,2,0,0.0,0.0,0.0
FB2,Fumonisin B2,Kampong Thom,2,0,0.0,0.0,0.0
FB2,Fumonisin B2,Kampot,1,0,0.0,0.0,0.0
FB2,Fumonisin B2,Lampang,21,0,0.0,0.0,0.0
FB2,Fumonisin B2,Mahasarakham,10,0,0.0,0.0,0.0
FB2,Fumonisin B2,Mukdahan,15,0,0.0,0.0,0.0
FB2,Fumonisin B2,Nakhon Pathom,32,0,0.0,0.0,0.0
FB2,Fumonisin B2,Narathiwat,18,0,0.0,0.0,0.0
FB2,Fumonisin B2,Pathum Thani,6,0,0.0,0.0,0.0
FB2,Fumonisin B2,Pha Yao,17,0,0.0,0.0,0.0
FB2,Fumonisin B2,Phayao,6,0,0.0,0.0,0.0
FB2,Fumonisin B2,Phichit,2,0,0.0,0.0,0.0
FB2,Fumonisin B2,Phnom Phen,4,0,0.0,0.0,0.0
FB2,Fumonisin B2,Roi Et,53,0,0.0,0.0,0.0
FB2,Fumonisin B2,Si Sa Ket,23,0,0.0,0.0,0.0
FB2,Fumonisin B2,Siem Reap,4,0,0.0,0.0,0.0
FB2,Fumonisin B2,Songkhla,13,0,0.0,0.0,0.0
FB2,Fumonisin B2,Suphan Buri,4,0,0.0,0.0,0.0
FB2,Fumonisin B2,Surin,37,0,0.0,0.0,0.0
FB2,Fumonisin B2,Takhmao,3,0,0.0,0.0,0.0
FB2,Fumonisin B2,Ubon Ratchathani,43,0,0.0,0.0,0.0
FB2,Fumonisin B2,Yala,4,0,0.0,0.0,0.0
FB2,Fumonisin B2,Yasothon,20,0,0.0,0.0,0.0
FUSA,Fusaric acid,Unspecified area,48,24,0.5,13.28875,49.35
FUSA,Fusaric acid,Amnart Charoen,15,0,0.0,0.0,0.0
FUSA,Fusaric acid,Bangkok,1,0,0.0,0.0,0.0
FUSA,Fusaric acid,Chaiyaphum,1,0,0.0,0.0,0.0
FUSA,Fusaric acid,Chiang Mai,86,0,0.0,0.0,0.0
FUSA,Fusaric acid,Chiang Rai,21,0,0.0,0.0,0.0
FUSA,Fusaric acid,Kalasin,2,0,0.0,0.0,0.0
FUSA,Fusaric acid,Kampong Thom,2,0,0.0,0.0,0.0
FUSA,Fusaric acid,Kampot,1,0,0.0,0.0,0.0
FUSA,Fusaric acid,Lampang,21,0,0.0,0.0,0.0
FUSA,Fusaric acid,Mahasarakham,10,0,0.0,0.0,0.0
FUSA,Fusaric acid,Mukdahan,15,0,0.0,0.0,0.0
FUSA,Fusaric acid,Nakhon Pathom,32,0,0.0,0.0,0.0
FUSA,Fusaric acid,Narathiwat,18,0,0.0,0.0,0.0
FUSA,Fusaric acid,Pathum Thani,6,0,0.0,0.0,0.0
FUSA,Fusaric acid,Pha Yao,17,0,0.0,0.0,0.0
FUSA,Fusaric acid,Phayao,6,0,0.0,0.0,0.0
FUSA,Fusaric acid,Phichit,2,0,0.0,0.0,0.0
FUSA,Fusaric acid,Phnom Phen,4,0,0.0,0.0,0.0
FUSA,Fusaric acid,Roi Et,53,0,0.0,0.0,0.0
FUSA,Fusaric acid,Si Sa Ket,23,0,0.0,0.0,0.0
FUSA,Fusaric acid,Siem Reap,4,0,0.0,0.0,0.0
FUSA,Fusaric acid,Songkhla,13,0,0.0,0.0,0.0
FUSA,Fusaric acid,Suphan Buri,4,0,0.0,0.0,0.0
FUSA,Fusaric acid,Surin,37,0,0.0,0.0,0.0
FUSA,Fusaric acid,Takhmao,3,0,0.0,0.0,0.0
FUSA,Fusaric acid,Ubon Ratchathani,43,0,0.0,0.0,0.0
FUSA,Fusaric acid,Yala,4,0,0.0,0.0,0.0
FUSA,Fusaric acid,Yasothon,20,0,0.0,0.0,0.0
HT2,HT-2 toxin,Unspecified area,48,23,0.479167,2.325217,7.46
HT2,HT-2 toxin,Amnart Charoen,15,0,0.0,0.0,0.0
HT2,HT-2 toxin,Bangkok,1,0,0.0,0.0,0.0
HT2,HT-2 toxin,Chaiyaphum,1,0,0.0,0.0,0.0
HT2,HT-2 toxin,Chiang Mai,86,0,0.0,0.0,0.0
HT2,HT-2 toxin,Chiang Rai,21,0,0.0,0.0,0.0
HT2,HT-2 toxin,Kalasin,2,0,0.0,0.0,0.0
HT2,HT-2 toxin,Kampong Thom,2,0,0.0,0.0,0.0
HT2,HT-2 toxin,Kampot,1,0,0.0,0.0,0.0
HT2,HT-2 toxin,Lampang,21,0,0.0,0.0,0.0
HT2,HT-2 toxin,Mahasarakham,10,0,0.0,0.0,0.0
HT2,HT-2 toxin,Mukdahan,15,0,0.0,0.0,0.0
HT2,HT-2 toxin,Nakhon Pathom,32,0,0.0,0.0,0.0
HT2,HT-2 toxin,Narathiwat,18,0,0.0,0.0,0.0
HT2,HT-2 toxin,Pathum Thani,6,0,0.0,0.0,0.0
HT2,HT-2 toxin,Pha Yao,17,0,0.0,0.0,0.0
HT2,HT-2 toxin,Phayao,6,0,0.0,0.0,0.0
HT2,HT-2 toxin,Phichit,2,0,0.0,0.0,0.0
HT2,HT-2 toxin,Phnom Phen,4,0,0.0,0.0,0.0
HT2,HT-2 toxin,Roi Et,53,0,0.0,0.0,0.0
HT2,HT-2 toxin,Si Sa Ket,23,0,0.0,0.0,0.0
HT2,HT-2 toxin,Siem Reap,4,0,0.0,0.0,0.0
HT2,HT-2 toxin,Songkhla,13,0,0.0,0.0,0.0
HT2,HT-2 toxin,Suphan Buri,4,0,0.0,0.0,0.0
HT2,HT-2 toxin,Surin,37,0,0.0,0.0,0.0
HT2,HT-2 toxin,Takhmao,3,0,0.0,0.0,0.0
HT2,HT-2 toxin,Ubon Ratchathani,43,0,0.0,0.0,0.0
HT2,HT-2 toxin,Yala,4,0,0.0,0.0,0.0
HT2,HT-2 toxin,Yasothon,20,0,0.0,0.0,0.0
MON,Moniliformin,Unspecified area,48,15,0.3125,21.092,250.03
MON,Moniliformin,Amnart Charoen,15,0,0.0,0.0,0.0
MON,Moniliformin,Bangkok,1,0,0.0,0.0,0.0
MON,Moniliformin,Chaiyaphum,1,0,0.0,0.0,0.0
MON,Moniliformin,Chiang Mai,86,0,0.0,0.0,0.0
MON,Moniliformin,Chiang Rai,21,0,0.0,0.0,0.0
MON,Moniliformin,Kalasin,2,0,0.0,0.0,0.0
MON,Moniliformin,Kampong Thom,2,0,0.0,0.0,0.0
MON,Moniliformin,Kampot,1,0,0.0,0.0,0.0
MON,Moniliformin,Lampang,21,0,0.0,0.0,0.0
MON,Moniliformin,Mahasarakham,10,0,0.0,0.0,0.0
MON,Moniliformin,Mukdahan,15,0,0.0,0.0,0.0
MON,Moniliformin,Nakhon Pathom,32,0,0.0,0.0,0.0
MON,Moniliformin,Narathiwat,18,0,0.0,0.0,0.0
MON,Moniliformin,Pathum Thani,6,0,0.0,0.0,0.0
MON,Moniliformin,Pha Yao,17,0,0.0,0.0,0.0
MON,Moniliformin,Phayao,6,0,0.0,0.0,0.0
MON,Moniliformin,Phichit,2,0,0.0,0.0,0.0
MON,Moniliformin,Phnom Phen,4,0,0.0,0.0,0.0
MON,Moniliformin,Roi Et,53,0,0.0,0.0,0.0
MON,Moniliformin,Si Sa Ket,23,0,0.0,0.0,0.0
MON,Moniliformin,Siem Reap,4,0,0.0,0.0,0.0
MON,Moniliformin,Songkhla,13,0,0.0,0.0,0.0
MON,Moniliformin,Suphan Buri,4,0,0.0,0.0,0.0
MON,Moniliformin,Surin,37,0,0.0,0.0,0.0
MON,Moniliformin,Takhmao,3,0,0.0,0.0,0.0
MON,Moniliformin,Ubon Ratchathani,43,0,0.0,0.0,0.0
MON,Moniliformin,Yala,4,0,0.0,0.0,0.0
MON,Moniliformin,Yasothon,20,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Unspecified area,48,4,0.083333,3.6975,4.64
MPA,Mycophenolic acid,Amnart Charoen,15,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Bangkok,1,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Chaiyaphum,1,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Chiang Mai,86,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Chiang Rai,21,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Kalasin,2,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Kampong Thom,2,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Kampot,1,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Lampang,21,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Mahasarakham,10,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Mukdahan,15,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Nakhon Pathom,32,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Narathiwat,18,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Pathum Thani,6,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Pha Yao,17,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Phayao,6,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Phichit,2,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Phnom Phen,4,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Roi Et,53,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Si Sa Ket,23,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Siem Reap,4,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Songkhla,13,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Suphan Buri,4,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Surin,37,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Takhmao,3,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Ubon Ratchathani,43,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Yala,4,0,0.0,0.0,0.0
MPA,Mycophenolic acid,Yasothon,20,0,0.0,0.0,0.0
NEOS,Neosolaniol,Amnart Charoen,15,0,0.0,0.0,0.0
NEOS,Neosolaniol,Bangkok,1,0,0.0,0.0,0.0
NEOS,Neosolaniol,Chaiyaphum,1,0,0.0,0.0,0.0
NEOS,Neosolaniol,Chiang Mai,86,0,0.0,0.0,0.0
NEOS,Neosolaniol,Chiang Rai,21,0,0.0,0.0,0.0
NEOS,Neosolaniol,Kalasin,2,0,0.0,0.0,0.0
NEOS,Neosolaniol,Kampong Thom,2,0,0.0,0.0,0.0
NEOS,Neosolaniol,Kampot,1,0,0.0,0.0,0.0
NEOS,Neosolaniol,Lampang,21,0,0.0,0.0,0.0
NEOS,Neosolaniol,Mahasarakham,10,0,0.0,0.0,0.0
NEOS,Neosolaniol,Mukdahan,15,0,0.0,0.0,0.0
NEOS,Neosolaniol,Nakhon Pathom,32,0,0.0,0.0,0.0
NEOS,Neosolaniol,Narathiwat,18,0,0.0,0.0,0.0
NEOS,Neosolaniol,Pathum Thani,6,0,0.0,0.0,0.0
NEOS,Neosolaniol,Pha Yao,17,0,0.0,0.0,0.0
